no_pesanan,order_date,sku,product,omset,customer_name,customer_phone,customer_city,packed_date,shipped_date,return_date,package_status,qty
ORD000072,2025-01-30 02:22:06,VTMMD60,vitaman madu 60 ml,50000,Radi Najo Jojo,8773490959,Manado,2025-01-30 03:35:06,2025-01-31 19:35:06,,Processed,3
ORD000073,2025-01-18 14:32:41,JDM,jelly drink madu,20000,Mona Mori,8731493325,Cikarang,2025-01-18 16:32:41,2025-01-19 14:32:41,,Delivered,1
ORD000074,2025-02-19 09:26:26,MDB200,maduboom 200 ml,32000,Lika Rana,8234818473,Jakarta,2025-02-19 11:26:26,2025-02-19 16:26:26,,Processed,1
ORD000075,2025-02-02 01:48:09,MDB200,maduboom 200 ml,32000,Dika Mili Nojo,8605855706,Jakarta,2025-02-02 04:38:09,2025-02-03 21:38:09,2025-02-07 21:38:09,Returned,3
ORD000076,2025-02-18 21:27:22,VTMMD60,vitaman madu 60 ml,50000,Mosa Naza,8273223068,Klaten,2025-02-19 00:16:22,2025-02-20 07:16:22,,Delivered,3
ORD000077,2025-02-12 10:00:53,MDB120,maduboom 120 ml,23000,Raza Naza Jomo,8402240864,Pekanbaru,2025-02-12 11:35:53,2025-02-13 23:35:53,,Processed,3
ORD000078,2025-01-16 00:36:21,VTM60,vitaman 60 ml,30000,Noka Zafa Rafa,8334534559,Jembrana,2025-01-16 02:33:21,2025-01-16 14:33:21,,Delivered,1
ORD000079,2025-02-20 01:06:57,MDB200,maduboom 200 ml,32000,Joba Sana,8868303712,Padang,2025-02-20 01:55:57,2025-02-21 22:55:57,,Processed,2
ORD000080,2025-02-03 11:48:44,JDM,jelly drink madu,20000,Moza Zari,8930217927,Ngawi,2025-02-03 13:13:44,2025-02-03 20:13:44,,Delivered,1
ORD000081,2025-01-14 22:37:34,MDB200,maduboom 200 ml,32000,Rili Limi,8313113540,Palangkaraya,2025-01-14 23:23:34,2025-01-15 05:23:34,,Delivered,2
ORD000082,2025-02-17 09:07:26,VTMMD60,vitaman madu 60 ml,50000,Nori Kati Mona,8301361417,Depok,2025-02-17 10:02:26,2025-02-18 12:02:26,,On Delivery,2
ORD000083,2025-01-19 03:11:02,MDB120,maduboom 120 ml,23000,Nosa Rino,8140226405,Bogor,2025-01-19 04:25:02,2025-01-20 18:25:02,,On Delivery,3
ORD000084,2025-01-25 03:14:02,VTM60,vitaman 60 ml,30000,Bamo Diri Jora,8675434510,Madiun,2025-01-25 05:29:02,2025-01-26 15:29:02,,On Delivery,1
ORD000085,2025-01-31 09:17:11,VTM60,vitaman 60 ml,30000,Moba Jofa Faza,8958842095,Madiun,2025-01-31 11:23:11,2025-02-02 02:23:11,,Processed,2
ORD000086,2025-01-30 23:14:41,VTMMD60,vitaman madu 60 ml,50000,Moba Rano Fana,8538697331,Palangkaraya,2025-01-31 01:00:41,2025-02-01 20:00:41,,On Delivery,3
ORD000087,2025-01-02 00:55:12,MDB200,maduboom 200 ml,32000,Rina Raza Tiba,8598424559,Samarinda,2025-01-02 01:55:12,2025-01-03 00:55:12,2025-01-07 00:55:12,Returned,2
ORD000088,2025-01-05 17:19:51,JDM,jelly drink madu,20000,Joti Jofa,8659138604,Surabaya,2025-01-05 20:13:51,2025-01-07 03:13:51,,Delivered,1
ORD000089,2025-01-02 23:58:30,MDB120,maduboom 120 ml,23000,Tiri Tika Joba,8264016686,Ternate,2025-01-03 00:42:30,2025-01-03 12:42:30,,Processed,1
ORD000090,2025-01-05 18:15:34,MDB200,maduboom 200 ml,32000,Moza Rina Difa,8706563676,Serang,2025-01-05 20:44:34,2025-01-07 06:44:34,,On Delivery,2
ORD000091,2025-02-17 06:36:29,VTM60,vitaman 60 ml,30000,Rimo Nora Rira,8476343208,Kediri,2025-02-17 07:47:29,2025-02-17 22:47:29,,On Delivery,3
ORD000092,2025-02-03 05:42:04,MDB120,maduboom 120 ml,23000,Nono Mira Najo,8586428899,Ambon,2025-02-03 06:59:04,2025-02-04 21:59:04,,Delivered,2
ORD000093,2025-01-07 07:02:01,VTMMD60,vitaman madu 60 ml,50000,Rano Zami,8393457780,Kupang,2025-01-07 07:57:01,2025-01-09 00:57:01,,On Delivery,3
ORD000094,2025-01-30 11:27:11,MDB120,maduboom 120 ml,23000,Lira Baka,8361145126,Bandung,2025-01-30 13:08:11,2025-01-30 18:08:11,,On Delivery,2
ORD000095,2025-01-09 04:37:12,MDB120,maduboom 120 ml,23000,Dimi Nosa Nofa,8782236315,Bengkulu,2025-01-09 07:10:12,2025-01-10 08:10:12,,Delivered,2
ORD000096,2025-02-08 03:14:38,VTM60,vitaman 60 ml,30000,Bajo Rara Nafa,8604844124,Sumedang,2025-02-08 04:05:38,2025-02-09 08:05:38,,On Delivery,1
ORD000097,2025-01-24 20:31:23,VTMMD60,vitaman madu 60 ml,50000,Mora Zaza Dijo,8723002919,Palu,2025-01-24 21:48:23,2025-01-25 22:48:23,,Processed,1
ORD000098,2025-01-26 00:27:09,JDM,jelly drink madu,20000,Diba Tili,8967517878,Sorong,2025-01-26 01:29:09,2025-01-27 13:29:09,,On Delivery,3
ORD000099,2025-01-02 00:58:23,VTM60,vitaman 60 ml,30000,Nari Mori Baza,8806698171,Banjarbaru,2025-01-02 02:46:23,2025-01-02 16:46:23,,On Delivery,1
ORD000100,2025-02-27 01:23:41,VTM60,vitaman 60 ml,30000,Rina Miri,8587181605,Maumere,2025-02-27 04:04:41,2025-02-27 11:04:41,,On Delivery,1
ORD000101,2025-02-19 13:04:48,JDM,jelly drink madu,20000,Fari Raza,8657970346,Bangli,2025-02-19 15:49:48,2025-02-21 06:49:48,,On Delivery,2
ORD000102,2025-01-10 12:38:09,JDM,jelly drink madu,20000,Kara Kaza Faba,8686930503,Gresik,2025-01-10 14:19:09,2025-01-12 11:19:09,,Delivered,2
ORD000103,2025-01-20 11:30:39,JDM,jelly drink madu,20000,Noka Nati,8776732915,Tasikmalaya,2025-01-20 12:44:39,2025-01-22 09:44:39,,Delivered,1
ORD000104,2025-01-11 15:21:43,JDM,jelly drink madu,20000,Nari Diri Riti,8118622293,Serang,2025-01-11 17:12:43,2025-01-12 13:12:43,,Delivered,1
ORD000105,2025-02-09 07:26:30,MDB200,maduboom 200 ml,32000,Liba Zari,8388608394,Blitar,2025-02-09 08:18:30,2025-02-10 16:18:30,,Delivered,3
ORD000106,2025-01-15 02:32:28,MDB200,maduboom 200 ml,32000,Mojo Mono Zajo,8289290422,Lombok Barat,2025-01-15 03:50:28,2025-01-15 21:50:28,,On Delivery,3
ORD000107,2025-01-18 06:33:13,MDB120,maduboom 120 ml,23000,Zaza Nori,8665616230,Medan,2025-01-18 08:59:13,2025-01-18 17:59:13,,On Delivery,3
ORD000108,2025-02-08 17:48:08,VTMMD60,vitaman madu 60 ml,50000,Bati Sari Riza,8862944631,Purwakarta,2025-02-08 19:26:08,2025-02-10 03:26:08,,Processed,2
ORD000109,2025-02-10 10:42:24,MDB200,maduboom 200 ml,32000,Liza Zana Tili,8504984707,Pontianak,2025-02-10 12:58:24,2025-02-11 23:58:24,,On Delivery,2
ORD000110,2025-01-10 18:38:19,JDM,jelly drink madu,20000,Jono Basa,8180050950,Lamongan,2025-01-10 20:23:19,2025-01-11 13:23:19,,Processed,2
ORD000111,2025-01-11 04:23:29,MDB200,maduboom 200 ml,32000,Joba Fano Rana,8855328768,Blitar,2025-01-11 04:55:29,2025-01-12 02:55:29,,Delivered,3
ORD000112,2025-02-13 21:41:09,MDB200,maduboom 200 ml,32000,Zafa Riri,8228635711,Palu,2025-02-13 22:54:09,2025-02-15 08:54:09,,Processed,2
ORD000113,2025-01-23 16:02:44,MDB200,maduboom 200 ml,32000,Joti Titi Nori,8881386015,Pekanbaru,2025-01-23 18:34:44,2025-01-24 13:34:44,,Processed,3
ORD000114,2025-01-21 11:16:59,JDM,jelly drink madu,20000,Lisa Raka Diba,8477516756,Palu,2025-01-21 13:16:59,2025-01-23 10:16:59,,Delivered,2
ORD000115,2025-01-30 10:01:39,MDB120,maduboom 120 ml,23000,Bana Sati,8514300613,Gorontalo,2025-01-30 11:21:39,2025-02-01 03:21:39,,Processed,1
ORD000116,2025-02-03 05:47:57,MDB120,maduboom 120 ml,23000,Riti Tira,8564471309,Ambon,2025-02-03 07:06:57,2025-02-04 22:06:57,,Processed,1
ORD000117,2025-02-08 13:12:29,JDM,jelly drink madu,20000,Nadi Bano,8971960282,Bangli,2025-02-08 15:23:29,2025-02-10 15:23:29,,On Delivery,1
ORD000118,2025-02-18 20:09:45,JDM,jelly drink madu,20000,Diza Rano Kaka,8191455487,Sukabumi,2025-02-18 21:34:45,2025-02-19 05:34:45,2025-02-26 05:34:45,Returned,1
ORD000119,2025-02-03 18:54:47,MDB120,maduboom 120 ml,23000,Sano Tiba,8414780668,Probolinggo,2025-02-03 21:00:47,2025-02-05 20:00:47,2025-02-12 20:00:47,Returned,3
ORD000120,2025-01-22 09:49:36,VTM60,vitaman 60 ml,30000,Difa Kaka Nojo,8279274375,Indramayu,2025-01-22 12:00:36,2025-01-23 00:00:36,,Delivered,3
ORD000121,2025-02-07 04:30:35,JDM,jelly drink madu,20000,Sajo Zaba Fafa,8589591816,Sorong,2025-02-07 06:46:35,2025-02-07 18:46:35,,Delivered,3
ORD000122,2025-01-26 09:57:05,VTMMD60,vitaman madu 60 ml,50000,Modi Mona Fari,8561228783,Banjarbaru,2025-01-26 10:52:05,2025-01-27 12:52:05,,On Delivery,1
ORD000123,2025-02-23 09:02:12,MDB120,maduboom 120 ml,23000,Diti Jora,8614459364,Kendari,2025-02-23 10:58:12,2025-02-24 01:58:12,,Delivered,3
ORD000124,2025-02-14 14:11:39,VTMMD60,vitaman madu 60 ml,50000,Diti Riba,8661182867,Surabaya,2025-02-14 16:17:39,2025-02-16 15:17:39,,Delivered,2
ORD000125,2025-01-22 04:00:36,MDB200,maduboom 200 ml,32000,Dino Lili,8286998722,Surabaya,2025-01-22 05:12:36,2025-01-24 04:12:36,,Delivered,2
ORD000126,2025-01-20 21:48:46,VTM60,vitaman 60 ml,30000,Saza Limi,8274097397,Batam,2025-01-20 22:51:46,2025-01-21 08:51:46,,On Delivery,1
ORD000127,2025-01-17 21:57:15,MDB120,maduboom 120 ml,23000,Kari Fajo,8671387841,Maumere,2025-01-17 23:14:15,2025-01-18 05:14:15,2025-01-22 05:14:15,Returned,3
ORD000128,2025-01-12 01:19:40,MDB200,maduboom 200 ml,32000,Rara Badi Nora,8115060747,Lombok Timur,2025-01-12 02:21:40,2025-01-13 00:21:40,,Delivered,3
ORD000129,2025-01-05 06:40:42,MDB200,maduboom 200 ml,32000,Riti Zano Rara,8127167694,Karawang,2025-01-05 08:06:42,2025-01-07 08:06:42,,On Delivery,3
ORD000130,2025-02-18 11:26:45,MDB200,maduboom 200 ml,32000,Nafa Tijo Lifa,8670808958,Serang,2025-02-18 13:25:45,2025-02-20 03:25:45,,Processed,2
ORD000131,2025-02-09 18:18:06,MDB200,maduboom 200 ml,32000,Baka Rira Bami,8849895283,Jayapura,2025-02-09 20:05:06,2025-02-11 15:05:06,,Processed,2
ORD000132,2025-01-16 11:38:30,VTMMD60,vitaman madu 60 ml,50000,Jodi Moka Zafa,8510482776,Larantuka,2025-01-16 13:49:30,2025-01-17 08:49:30,,On Delivery,1
ORD000133,2025-01-17 18:38:43,JDM,jelly drink madu,20000,Fajo Limo,8458476799,Sorong,2025-01-17 19:53:43,2025-01-19 01:53:43,,Delivered,3
ORD000134,2025-01-19 10:27:33,MDB200,maduboom 200 ml,32000,Zana Jojo,8101210644,Cianjur,2025-01-19 11:30:33,2025-01-20 22:30:33,,On Delivery,2
ORD000135,2025-02-02 17:39:41,JDM,jelly drink madu,20000,Titi Fasa Rira,8307769897,Batu,2025-02-02 20:39:41,2025-02-03 17:39:41,,Delivered,1
ORD000136,2025-01-08 21:18:47,MDB120,maduboom 120 ml,23000,Diti Lino,8817380227,Bojonegoro,2025-01-08 22:26:47,2025-01-10 04:26:47,,On Delivery,1
ORD000137,2025-01-24 18:22:15,VTM60,vitaman 60 ml,30000,Dina Saba,8778403709,Karangasem,2025-01-24 21:20:15,2025-01-25 07:20:15,,Delivered,3
ORD000138,2025-01-25 00:47:50,VTMMD60,vitaman madu 60 ml,50000,Faka Lika,8760414158,Cirebon,2025-01-25 02:37:50,2025-01-25 09:37:50,,Processed,2
ORD000139,2025-02-18 14:07:19,MDB200,maduboom 200 ml,32000,Lidi Dili,8512915678,Banyuwangi,2025-02-18 16:57:19,2025-02-20 10:57:19,2025-02-24 10:57:19,Returned,3
ORD000140,2025-01-20 07:47:45,MDB200,maduboom 200 ml,32000,Moli Zari,8431778550,Surabaya,2025-01-20 10:02:45,2025-01-21 09:02:45,,Delivered,1
ORD000141,2025-02-19 02:23:32,VTM60,vitaman 60 ml,30000,Liza Tisa,8272186430,Palu,2025-02-19 03:26:32,2025-02-19 18:26:32,,On Delivery,1
ORD000142,2025-01-19 00:02:54,VTMMD60,vitaman madu 60 ml,50000,Fari Kaka Zaza,8754129172,Cianjur,2025-01-19 02:51:54,2025-01-20 11:51:54,,Processed,3
ORD000143,2025-02-01 14:35:42,JDM,jelly drink madu,20000,Liza Safa,8677460107,Lombok Timur,2025-02-01 16:44:42,2025-02-03 06:44:42,,Processed,2
ORD000144,2025-01-06 04:05:05,JDM,jelly drink madu,20000,Noba Nana,8322719743,Jepara,2025-01-06 05:30:05,2025-01-06 18:30:05,,On Delivery,2
ORD000145,2025-02-26 10:54:51,VTM60,vitaman 60 ml,30000,Sara Tina,8184730248,Samarinda,2025-02-26 11:43:51,2025-02-26 18:43:51,,Delivered,1
ORD000146,2025-02-17 01:46:49,VTM60,vitaman 60 ml,30000,Dimo Naba Lijo,8580351623,Kupang,2025-02-17 02:27:49,2025-02-17 11:27:49,,Delivered,1
ORD000147,2025-01-08 23:03:12,JDM,jelly drink madu,20000,Sana Nona,8919206612,Kudus,2025-01-09 01:32:12,2025-01-10 08:32:12,,Processed,1
ORD000148,2025-01-16 20:21:51,MDB200,maduboom 200 ml,32000,Fara Nosa Lisa,8802053227,Tangerang,2025-01-16 20:57:51,2025-01-17 13:57:51,,Delivered,3
ORD000149,2025-01-03 03:22:16,MDB120,maduboom 120 ml,23000,Jomo Tili,8763312373,Tangerang,2025-01-03 05:30:16,2025-01-04 09:30:16,,Delivered,2
ORD000150,2025-02-11 12:34:18,JDM,jelly drink madu,20000,Jora Faka Raba,8572710339,Sumedang,2025-02-11 14:27:18,2025-02-12 17:27:18,,Delivered,3
